GR	ROPA	PE	CALX	Rt	Rxo	CNC	DT12	ZDEN
59.215	22.443	1.873	216.85	11.873	5.573	27.482	309.274	2.334
59.215	22.443	1.839	216.85	11.873	5.573	28.291	310.074	2.334
59.215	22.443	1.808	216.869	11.873	5.573	28.291	310.791	2.334
60.271	22.443	1.808	216.886	11.873	5.573	28.291	310.791	2.333
61.218	23.557	1.808	216.886	11.092	5.22	28.536	314.993	2.332
61.218	23.557	1.808	216.863	10.392	4.904	28.755	318.76	2.332
61.218	23.557	1.808	216.843	10.392	4.904	28.755	318.76	2.332
61.218	23.557	1.808	216.843	10.392	4.904	28.755	318.76	2.332
63.456	25.399	1.808	216.843	10.812	5.151	28.907	318.147	2.332
65.462	25.399	1.874	216.843	11.188	5.373	29.042	317.598	2.332
65.462	25.399	1.933	216.843	11.188	5.373	29.042	317.598	2.336
65.462	25.399	1.933	216.843	11.188	5.373	28.817	317.598	2.339
65.462	21.732	1.933	216.792	11.188	5.373	28.614	317.598	2.339
65.462	21.732	1.933	216.746	11.188	5.373	28.579	317.598	2.339
65.462	21.732	2.013	216.746	11.188	5.373	25.438	314.867	2.339
63.923	21.732	2.085	216.823	10.327	5.214	22.651	312.419	2.339
68.063	21.732	2.085	216.892	9.555	5.072	22.651	312.419	2.331
73.01	20.158	2.418	216.892	9.555	5.072	22.651	310.142	2.394
73.01	20.158	2.716	216.937	8.828	4.857	22.651	308.101	2.456
73.01	20.158	2.716	216.977	8.176	4.665	22.651	308.101	2.456
75.314	60.857	2.716	216.977	13.93	8.047	22.651	311.119	2.456
77.379	60.857	2.881	216.977	19.088	11.079	22.651	313.825	2.456
77.379	60.857	3.028	216.975	19.088	11.079	22.651	313.825	2.456
40.301	13.117	3.69	202.687	38.212	32.024	10.591	228.494	2.671
42.831	13.117	3.598	202.747	31.891	26.351	10.795	231.458	2.671
42.831	13.117	3.552	202.776	28.805	23.581	10.795	231.458	2.671
42.831	13.117	3.552	202.776	28.805	23.581	10.795	231.458	2.658
43.925	13.117	3.552	202.776	28.805	23.581	10.795	236.778	2.651
44.46	12.212	3.552	202.685	35.647	25.036	11.079	239.377	2.653
44.46	12.212	3.552	202.641	38.989	25.747	11.218	239.377	2.654
